x (nm),y (nm),zpen (mm),Force (N),Freq Shift (Hz)
14.81953,-49.2612,-3.453,1.521,-2.788
14.82353,-49.2622,-3.452,1.42,-2.784
14.82753,-49.2652,-3.461,1.48,-2.782
14.83353,-49.2682,-3.38,1.552,-2.782
14.83553,-49.2722,-3.346,1.597,-2.783
14.83853,-49.2802,-3.279,1.566,-2.777
14.84053,-49.2842,-3.245,1.546,-2.779
14.84253,-49.2872,-3.17,1.668,-2.778
14.84553,-49.2912,-3.155,1.609,-2.788
14.85053,-49.2922,-3.146,1.391,-2.785
14.85653,-49.2962,-3.375,1.48,-2.793
14.86053,-49.2982,-3.397,1.523,-2.785
14.86553,-49.3032,-3.523,1.395,-2.784
14.86953,-49.3062,-3.526,1.584,-2.781
14.87453,-49.3112,-3.389,1.629,-2.786
14.88253,-49.3172,-3.298,1.586,-2.784
14.89353,-49.3232,-3.334,1.508,-2.786
14.90553,-49.3262,-3.3,1.519,-2.788
14.93053,-49.3342,-3.308,1.484,-2.787
14.94753,-49.3392,-3.331,1.449,-2.782
14.96753,-49.3462,-3.376,1.485,-2.779
14.98753,-49.3562,-3.22,1.54,-2.785
15.00453,-49.3672,-3.099,1.576,-2.791
15.02253,-49.3752,-3.148,1.455,-2.79
15.03653,-49.3812,-3.345,1.409,-2.788
15.04353,-49.3842,-3.437,1.443,-2.789
15.05053,-49.3882,-3.426,1.468,-2.786
15.05453,-49.3932,-3.438,1.468,-2.782
15.06053,-49.4002,-3.406,1.508,-2.779
15.06753,-49.4062,-3.253,1.57,-2.783
15.07653,-49.4132,-3.112,1.596,-2.785
15.08853,-49.4172,-3.093,1.51,-2.787
15.09553,-49.4182,-3.11,1.448,-2.785
15.10153,-49.4202,-3.156,1.425,-2.787
15.10853,-49.4202,-3.191,1.466,-2.789
15.11353,-49.4222,-3.23,1.444,-2.79
15.11653,-49.4242,-3.27,1.417,-2.79
15.11853,-49.4272,-3.321,1.405,-2.789
15.11953,-49.4282,-3.344,1.404,-2.787
15.12353,-49.4302,-3.335,1.426,-2.788
15.12553,-49.4332,-3.319,1.462,-2.789
15.12653,-49.4382,-3.295,1.442,-2.792
15.13053,-49.4412,-3.358,1.432,-2.787
15.13453,-49.4412,-3.472,1.41,-2.787
15.13853,-49.4432,-3.5,1.522,-2.79
15.14553,-49.4472,-3.398,1.499,-2.789
15.15053,-49.4492,-3.407,1.407,-2.79
15.15353,-49.4482,-3.377,1.44,-2.786
15.15653,-49.4482,-3.365,1.405,-2.786
15.15953,-49.4472,-3.312,1.492,-2.785
15.16553,-49.4482,-3.237,1.477,-2.788
15.16753,-49.4482,-3.23,1.486,-2.797
15.17053,-49.4502,-3.228,1.403,-2.79
15.17453,-49.4502,-3.372,1.246,-2.785
15.17653,-49.4492,-3.368,1.393,-2.782
15.17753,-49.4522,-3.267,1.499,-2.782
15.18053,-49.4592,-3.185,1.548,-2.788
15.18153,-49.4652,-3.118,1.514,-2.785
15.19053,-49.4692,-3.148,1.454,-2.783
15.19953,-49.4722,-3.082,1.426,-2.784
15.20453,-49.4742,-3.072,1.487,-2.787
15.21053,-49.4782,-3.06,1.451,-2.794
15.21153,-49.4812,-3.1,1.398,-2.789
15.21053,-49.4802,-3.247,1.276,-2.789
15.20953,-49.4762,-3.313,1.401,-2.79
15.20953,-49.4742,-3.273,1.411,-2.791
15.21053,-49.4732,-3.262,1.363,-2.786
15.21153,-49.4742,-3.255,1.35,-2.788
15.22053,-49.4792,-3.065,1.399,-2.788
15.22453,-49.4832,-3.053,1.349,-2.794
15.22853,-49.4852,-3.043,1.355,-2.789
15.23253,-49.4892,-3.118,1.216,-2.788
15.23953,-49.4912,-3.139,1.359,-2.787
15.25053,-49.4932,-3.061,1.344,-2.785
15.26453,-49.4992,-3.028,1.361,-2.79
15.27353,-49.5042,-2.91,1.382,-2.788
15.28053,-49.5072,-2.905,1.243,-2.794
15.28953,-49.5092,-2.907,1.308,-2.79
15.29453,-49.5112,-2.946,1.18,-2.791
15.29953,-49.5142,-3.009,1.278,-2.79
15.30853,-49.5152,-3.087,1.307,-2.791
15.31653,-49.5142,-3.209,1.372,-2.792
15.32553,-49.5132,-3.209,1.34,-2.788
15.33953,-49.5102,-3.192,1.293,-2.788
15.34753,-49.5072,-3.111,1.358,-2.785
15.35553,-49.5012,-3.055,1.356,-2.794
15.36153,-49.4962,-2.915,1.377,-2.795
15.36853,-49.4962,-3.09,1.227,-2.797
15.37253,-49.4942,-3.177,1.228,-2.798
15.37553,-49.4922,-3.21,1.176,-2.791
15.37853,-49.4912,-3.449,1.432,-2.789
15.37653,-49.4952,-3.334,1.38,-2.783
15.37453,-49.5042,-3.256,1.412,-2.792
15.38153,-49.5092,-3.126,1.277,-2.794
15.38953,-49.5102,-3.264,1.346,-2.792
15.40053,-49.5072,-3.37,1.324,-2.797
15.40153,-49.5052,-3.361,1.365,-2.79
15.40153,-49.5042,-3.429,1.253,-2.794
15.39653,-49.5052,-3.27,1.359,-2.789
15.39453,-49.5102,-3.307,1.282,-2.798
15.39453,-49.5122,-3.255,1.41,-2.798
15.39453,-49.5162,-3.452,1.277,-2.793
15.39453,-49.5182,-3.583,1.283,-2.791
15.39453,-49.5222,-3.498,1.384,-2.785
15.39553,-49.5312,-3.389,1.408,-2.787
15.39453,-49.5372,-3.099,1.455,-2.792
15.39453,-49.5412,-3.101,1.411,-2.798
15.39353,-49.5412,-3.162,1.306,-2.794
15.39353,-49.5392,-3.405,1.233,-2.786
15.38953,-49.5372,-3.339,1.308,-2.779
15.38753,-49.5422,-3.193,1.443,-2.787
15.38753,-49.5492,-2.815,1.476,-2.787
15.39453,-49.5562,-2.865,1.342,-2.793
15.39753,-49.5532,-2.906,1.341,-2.787
15.39653,-49.5502,-3.076,1.249,-2.787
15.38553,-49.5512,-2.934,1.339,-2.787
15.38553,-49.5512,-2.934,1.347,-2.789
15.38553,-49.5512,-2.934,1.347,-2.795
15.38553,-49.5512,-2.953,1.3,-2.79
15.38553,-49.5522,-3.057,1.193,-2.793
15.38453,-49.5502,-2.961,1.275,-2.791
15.38553,-49.5512,-3.033,1.229,-2.794
15.38453,-49.5502,-2.998,1.252,-2.793
15.36953,-49.5512,-3.048,1.194,-2.792
15.36853,-49.5512,-3.036,1.226,-2.788
15.36853,-49.5512,-3.029,1.237,-2.788
15.36853,-49.5512,-2.883,1.295,-2.793
15.36753,-49.5472,-2.851,1.286,-2.792
15.36053,-49.5362,-3.008,1.202,-2.787
15.36053,-49.5392,-2.968,1.221,-2.786
15.36453,-49.5482,-2.881,1.332,-2.789
15.38353,-49.5632,-2.772,1.318,-2.797
15.39753,-49.5712,-2.74,1.209,-2.792
15.41553,-49.5792,-2.952,1.098,-2.792
15.44453,-49.5802,-2.928,1.214,-2.79
15.45153,-49.5812,-2.956,1.226,-2.794
15.45253,-49.5802,-2.871,1.233,-2.794
15.44953,-49.5802,-2.836,1.118,-2.794
15.44353,-49.5762,-2.879,1.141,-2.788
15.43253,-49.5682,-2.886,1.139,-2.794
15.42253,-49.5612,-2.866,1.284,-2.795
15.41253,-49.5552,-3.023,1.208,-2.799
15.40153,-49.5522,-3.054,1.174,-2.791
15.38553,-49.5512,-3.156,1.12,-2.79
15.38153,-49.5512,-3.015,1.257,-2.79
15.38253,-49.5542,-2.863,1.218,-2.79
15.38253,-49.5592,-2.839,1.22,-2.79
15.38653,-49.5652,-2.781,1.207,-2.792
15.39153,-49.5692,-2.731,1.193,-2.796
15.39153,-49.5712,-2.716,1.147,-2.789
15.39253,-49.5732,-2.794,1.069,-2.793
15.39153,-49.5732,-2.732,1.199,-2.791
15.39053,-49.5732,-2.794,1.141,-2.793
15.38953,-49.5722,-2.74,1.172,-2.786
15.38753,-49.5732,-2.794,1.129,-2.787
15.38653,-49.5742,-2.694,1.286,-2.784
15.38453,-49.5762,-2.588,1.216,-2.788
15.38053,-49.5782,-2.566,1.281,-2.786
15.37953,-49.5782,-2.554,1.177,-2.788
15.37953,-49.5772,-2.562,1.251,-2.793
15.37553,-49.5752,-2.56,1.197,-2.792
15.37253,-49.5732,-2.643,1.093,-2.796
15.36853,-49.5702,-2.684,1.125,-2.792
15.36553,-49.5692,-2.76,1.046,-2.792
15.36253,-49.5662,-2.734,1.143,-2.792
15.36153,-49.5632,-2.756,1.138,-2.795
15.35653,-49.5632,-2.752,1.141,-2.794
15.34453,-49.5602,-2.818,1.098,-2.796
15.33753,-49.5602,-2.825,1.119,-2.791
15.33153,-49.5602,-2.833,1.08,-2.795
15.32753,-49.5602,-2.821,1.182,-2.792
15.32353,-49.5602,-2.84,1.112,-2.792
15.32253,-49.5602,-2.84,1.163,-2.79
15.32153,-49.5602,-2.84,1.166,-2.792
15.31853,-49.5622,-2.753,1.204,-2.788
15.31353,-49.5622,-2.771,1.146,-2.792
15.30753,-49.5602,-2.671,1.227,-2.789
15.30653,-49.5612,-2.706,1.128,-2.795
15.30353,-49.5622,-2.687,1.192,-2.797
15.30153,-49.5642,-2.764,1.074,-2.791
15.30053,-49.5662,-2.934,1.088,-2.789
15.29753,-49.5662,-2.853,1.207,-2.779
15.29353,-49.5702,-2.763,1.228,-2.787
15.29353,-49.5732,-2.6,1.411,-2.789
15.29353,-49.5772,-2.495,1.185,-2.79
15.29453,-49.5762,-2.491,1.126,-2.795
15.29553,-49.5752,-2.571,1.137,-2.793
15.29653,-49.5762,-2.748,1.074,-2.801
15.29653,-49.5772,-2.741,1.114,-2.79
15.29653,-49.5822,-3.065,1.034,-2.788
15.29453,-49.5832,-2.824,1.2,-2.782
15.29353,-49.5922,-2.787,1.263,-2.788
15.29453,-49.6042,-2.463,1.319,-2.794
15.29253,-49.6022,-2.577,1.187,-2.795
15.29153,-49.6042,-2.647,1.046,-2.786
15.29453,-49.6072,-2.588,1.01,-2.776
15.29753,-49.6122,-2.279,1.115,-2.783
15.29853,-49.6252,-1.587,1.146,-2.796
15.29853,-49.6292,-1.63,0.991,-2.801
15.29853,-49.6292,-1.822,0.721,-2.789
15.29853,-49.6202,-2.414,0.808,-2.784
15.29853,-49.6212,-2.357,1.082,-2.787
15.29953,-49.6242,-2.155,1.129,-2.799
15.30053,-49.6432,-2.051,1.03,-2.794
15.30053,-49.6472,-2.311,0.847,-2.793
15.29753,-49.6452,-2.402,0.985,-2.791
15.29553,-49.6452,-2.499,1.04,-2.792
15.29153,-49.6492,-2.427,1.06,-2.793
15.28353,-49.6522,-2.405,1.029,-2.789
15.27653,-49.6532,-2.405,1.006,-2.796
14.75053,-47.8482,-0.469,0.234,-2.819
14.75053,-47.8482,-0.469,0.234,-2.808
14.75053,-47.8422,-0.741,0.039,-2.809
14.75053,-47.8332,-1.334,0.062,-2.806
14.75053,-47.8232,-2.005,0.063,-2.8
14.75053,-47.8182,-2.533,0.193,-2.801
14.75153,-47.8202,-2.653,0.195,-2.798
14.75153,-47.8202,-2.545,0.155,-2.805
14.75153,-47.8222,-2.576,0.169,-2.798
14.75153,-47.8212,-2.566,0.159,-2.805
14.75153,-47.8212,-2.566,0.164,-2.794
14.75153,-47.8212,-2.566,0.162,-2.801
14.75153,-47.8212,-2.566,0.165,-2.795
14.75153,-47.8212,-2.566,0.163,-2.8
14.75153,-47.8212,-2.566,0.164,-2.799
14.75153,-47.8212,-2.566,0.163,-2.802
14.75153,-47.8212,-2.566,0.163,-2.801
14.75153,-47.8212,-2.566,0.162,-2.801
14.75153,-47.8212,-2.566,0.163,-2.797
14.75153,-47.8212,-2.566,0.163,-2.803
14.71853,-47.7962,-2.926,0.309,-2.801
14.66153,-47.8432,-2.679,0.188,-2.805
14.63053,-47.8532,-2.662,0.196,-2.803
14.60553,-47.8892,-2.504,0.13,-2.803
14.60353,-47.8932,-2.626,0.204,-2.798
14.63053,-47.8922,-2.782,0.238,-2.803
14.65253,-47.9012,-2.818,0.265,-2.8
14.64653,-47.9022,-3.063,0.369,-2.797
14.62153,-47.8872,-3.22,0.381,-2.798
14.60853,-47.8812,-2.532,0.104,-2.797
14.61153,-47.8492,-2.293,0.066,-2.805
14.62853,-47.8242,-2.337,0.09,-2.796
14.65653,-47.8182,-2.283,0.053,-2.798
14.65853,-47.8272,-2.236,0.044,-2.8
14.63253,-47.8352,-2.224,0.042,-2.8
14.58353,-47.9032,-1.872,-0.036,-2.808
14.56653,-47.9372,-1.703,-0.043,-2.797
14.50353,-48.0872,-0.792,-0.086,-2.802
14.44453,-48.2442,0.353,-0.117,-2.794
14.37753,-48.4532,2.209,-0.154,-2.805
14.35053,-48.5192,3.483,-0.15,-2.797
14.34053,-48.6682,4.51,-0.12,-2.803
14.35553,-48.7672,5.436,-0.015,-2.796
14.38453,-48.7702,5.204,0.026,-2.805
14.40453,-48.7722,4.993,0.023,-2.795
14.43053,-48.7762,4.75,0.029,-2.795
14.45053,-48.7632,4.324,0.046,-2.793
14.47653,-48.7192,3.452,0.062,-2.799
14.48853,-48.7032,2.865,0.046,-2.804
14.49053,-48.7012,2.522,0.043,-2.801
14.48853,-48.6962,2.192,0.03,-2.804
14.50553,-48.6202,1.28,0.087,-2.797
14.54753,-48.4942,-0.594,0.135,-2.803
14.57053,-48.3992,-2.042,0.141,-2.797
14.58353,-48.3192,-3.121,0.477,-2.801
14.60053,-48.2282,-3.615,0.534,-2.798
14.63253,-48.1212,-2.909,0.259,-2.804
14.65553,-48.0712,-3.021,0.346,-2.805
14.69553,-48.0212,-3.278,0.414,-2.809
14.72553,-48.0062,-3.172,0.36,-2.796
14.78053,-48.0092,-2.933,0.265,-2.802
14.89553,-48.0272,-2.62,0.16,-2.793
15.10353,-48.0132,-2.232,0.032,-2.807
15.13853,-48.0092,-2.195,0.028,-2.792
15.21853,-48.0172,-2.067,-0.014,-2.802
15.25953,-48.0332,-1.887,-0.027,-2.798
15.32153,-48.0582,-1.495,-0.038,-2.802
15.45853,-48.0712,-0.876,-0.019,-2.803
15.60753,-48.0782,-0.877,-0.006,-2.807
15.69453,-48.0962,-0.754,-0.023,-2.807
15.82753,-48.1292,-0.195,-0.034,-2.803
15.89553,-48.1442,-0.034,0.003,-2.801
15.91153,-48.1632,-0.067,0.005,-2.803
15.93353,-48.1952,-0.004,-0.012,-2.8
15.94753,-48.2332,0.122,-0.011,-2.808
15.95853,-48.2902,0.252,-0.012,-2.8
15.95853,-48.3412,0.362,-0.007,-2.805
15.94753,-48.4052,0.298,0.011,-2.792
15.94553,-48.4012,0.063,0.017,-2.803
15.94753,-48.3832,-0.299,0.042,-2.798
15.97053,-48.3492,-1.056,0.053,-2.805
15.98753,-48.3272,-1.547,0.056,-2.794
16.00353,-48.3002,-2.103,0.058,-2.803
16.01753,-48.2662,-2.602,0.222,-2.803
16.03053,-48.2322,-2.84,0.263,-2.808
16.04053,-48.2102,-2.737,0.208,-2.801
16.05653,-48.2012,-2.649,0.181,-2.794
16.08353,-48.1992,-2.605,0.173,-2.803
16.09153,-48.2012,-2.6,0.175,-2.802
16.09853,-48.2022,-2.583,0.168,-2.804
16.12153,-48.2232,-2.423,0.103,-2.802
16.14253,-48.2312,-2.339,0.078,-2.805
16.15453,-48.2292,-2.35,0.09,-2.804
16.15353,-48.2232,-2.422,0.12,-2.803
16.14553,-48.2182,-2.45,0.118,-2.793
16.13953,-48.2192,-2.45,0.121,-2.788
16.12953,-48.2262,-2.422,0.112,-2.785
16.11853,-48.2312,-2.417,0.115,-2.791
16.10953,-48.2392,-2.378,0.101,-2.8
16.11853,-48.2312,-2.57,0.187,-2.798
16.13553,-48.2262,-2.855,0.275,-2.796
16.14653,-48.2322,-2.827,0.246,-2.796
16.14053,-48.2522,-2.705,0.201,-2.793
16.14053,-48.2722,-2.598,0.162,-2.801
16.14953,-48.3032,-2.416,0.101,-2.793
16.15453,-48.3212,-2.374,0.091,-2.801
16.15553,-48.3312,-2.371,0.096,-2.797
16.15553,-48.3662,-2.502,0.153,-2.803
16.15353,-48.3892,-2.613,0.181,-2.804
16.13453,-48.4042,-2.504,0.129,-2.797
16.11253,-48.4142,-2.458,0.121,-2.807
16.09453,-48.4262,-2.4,0.101,-2.804
16.09053,-48.4422,-2.261,0.044,-2.814
16.08853,-48.4512,-2.219,0.039,-2.807
16.07853,-48.4562,-2.196,0.029,-2.8
16.06353,-48.4622,-2.178,0.023,-2.797
16.05053,-48.4662,-2.183,0.034,-2.798
16.03153,-48.4712,-2.144,0.012,-2.798
15.99053,-48.4882,-1.956,-0.01,-2.797
15.97453,-48.4942,-1.876,-0.003,-2.8
15.95353,-48.5012,-1.914,0.003,-2.805
15.94253,-48.5072,-1.867,-0.005,-2.798
15.93153,-48.5142,-1.776,-0.01,-2.795
15.90153,-48.5212,-1.781,0.006,-2.793
15.88253,-48.5252,-1.781,-0.007,-2.797
15.86953,-48.5292,-1.741,-0.004,-2.794
15.85253,-48.5312,-1.702,-0.003,-2.797
15.83653,-48.5322,-1.714,0.002,-2.797
15.83053,-48.5352,-1.708,-0.003,-2.805
15.83153,-48.5382,-1.678,-0.003,-2.804
15.83353,-48.5452,-1.63,-0.002,-2.807
15.83353,-48.5452,-1.641,0.002,-2.803
15.83853,-48.5472,-1.634,-0.009,-2.803
15.84253,-48.5552,-1.529,-0.005,-2.804
15.84353,-48.5592,-1.454,-0.007,-2.804
15.84553,-48.5622,-1.441,0.004,-2.801
15.84853,-48.5622,-1.441,0,-2.808
15.85053,-48.5642,-1.423,-0.002,-2.795
15.85153,-48.5672,-1.388,0,-2.796
15.85153,-48.5662,-1.405,0,-2.789
15.85553,-48.5682,-1.387,-0.004,-2.803
15.85753,-48.5732,-1.35,-0.002,-2.803
15.85753,-48.5742,-1.355,0,-2.807
15.85853,-48.5752,-1.388,0.003,-2.797
15.85953,-48.5782,-1.364,-0.004,-2.795
15.86053,-48.5812,-1.329,-0.003,-2.794
15.85953,-48.5822,-1.306,0,-2.797
15.85853,-48.5782,-1.353,0.001,-2.796
15.85953,-48.5782,-1.353,0,-2.795
15.86053,-48.5782,-1.347,0,-2.792
15.85953,-48.5782,-1.353,0,-2.794
15.85953,-48.5782,-1.353,0,-2.798
15.85953,-48.5782,-1.353,0,-2.798
15.86053,-48.5792,-1.358,0,-2.806
15.86053,-48.5792,-1.369,0,-2.799
15.86053,-48.5792,-1.375,0,-2.803
15.86153,-48.5782,-1.381,0,-2.797
15.86253,-48.5762,-1.393,0.001,-2.8
15.86253,-48.5742,-1.405,0.003,-2.797
15.86253,-48.5732,-1.44,0.004,-2.8
15.86253,-48.5742,-1.451,0,-2.796
15.86153,-48.5722,-1.463,0.003,-2.799
15.86153,-48.5712,-1.469,0,-2.801
15.86153,-48.5692,-1.487,0.001,-2.804
15.86053,-48.5682,-1.499,0.001,-2.8
15.85753,-48.5662,-1.539,0,-2.796
15.85753,-48.5682,-1.572,0.001,-2.796
15.85753,-48.5692,-1.605,0.006,-2.801
15.85753,-48.5682,-1.639,0.005,-2.797
15.85653,-48.5662,-1.776,0.015,-2.792
15.85453,-48.5622,-2.171,0.061,-2.795
15.85453,-48.5592,-2.556,0.182,-2.792
15.85653,-48.5582,-2.843,0.288,-2.801
15.85953,-48.5632,-3.359,0.495,-2.802
15.85653,-48.5702,-4.407,0.85,-2.809
15.85853,-48.5732,-4.853,0.997,-2.807
15.86053,-48.5872,-5.366,1.173,-2.802
15.85253,-48.6032,-6.016,1.411,-2.804
15.83553,-48.6182,-6.72,1.676,-2.806
15.82653,-48.6332,-7.54,1.948,-2.797
15.83453,-48.6382,-8.019,2.112,-2.796
15.84653,-48.6392,-8.516,2.306,-2.789
15.87353,-48.6212,-9.755,2.751,-2.794
15.90053,-48.5952,-10.687,3.048,-2.8
15.93453,-48.5912,-11.42,3.31,-2.799
15.96553,-48.5892,-12.001,3.495,-2.803
15.97953,-48.5832,-12.28,3.59,-2.798
15.97953,-48.5812,-12.703,3.751,-2.8
15.97753,-48.5732,-12.757,3.719,-2.803
15.97753,-48.5682,-12.279,3.511,-2.804
15.97853,-48.5672,-11.941,3.369,-2.801
15.98953,-48.5602,-10.225,2.681,-2.796
16.02353,-48.5592,-7.027,1.473,-2.794
16.05653,-48.5822,-2.603,-0.102,-2.799
16.02053,-48.6092,1.487,-0.257,-2.796
15.97053,-48.6272,6.01,-0.307,-2.793
15.95253,-48.6512,9.108,-0.326,-2.794
15.94453,-48.7172,14.261,-0.323,-2.795
15.94253,-48.7542,17.087,-0.303,-2.806
15.93353,-48.7782,19.616,-0.227,-2.795
15.90953,-48.7852,21.214,-0.116,-2.806
15.88653,-48.7752,22.024,-0.032,-2.794
15.88753,-48.7552,22.241,-0.016,-2.799
15.88953,-48.7452,22.354,-0.014,-2.798
15.88753,-48.7372,22.455,-0.008,-2.796
15.88453,-48.7252,22.57,-0.009,-2.799
15.88053,-48.7082,22.601,0.002,-2.792
15.88153,-48.6982,22.426,0.022,-2.799
15.88653,-48.6922,22.208,0.019,-2.798
15.89453,-48.6902,22.082,0.013,-2.801
15.90053,-48.6872,21.958,0.01,-2.802
15.90353,-48.6862,21.843,0.01,-2.8
15.90453,-48.6842,21.729,0.01,-2.802
15.90853,-48.6832,21.648,0.004,-2.797
15.90953,-48.6752,21.569,0.013,-2.801
15.91453,-48.6512,21.242,0.019,-2.792
15.91153,-48.6312,20.726,0.019,-2.803
15.90753,-48.6282,20.436,0.016,-2.794
15.90053,-48.6262,20.325,0.011,-2.803
15.88553,-48.6202,20.294,0,-2.797
15.86653,-48.6132,20.372,-0.008,-2.799
15.82653,-48.5982,20.585,-0.007,-2.806
15.79453,-48.5772,20.654,-0.002,-2.799
15.73653,-48.5122,20.853,-0.017,-2.807
15.68453,-48.4502,21.16,-0.027,-2.796
15.58553,-48.3502,21.865,-0.048,-2.798
15.44053,-48.2522,23.104,-0.068,-2.794
15.37653,-48.2152,23.813,-0.08,-2.788
15.28753,-48.1592,24.944,-0.086,-2.793
15.20253,-48.1002,25.839,-0.077,-2.789
15.08553,-48.0052,26.789,-0.05,-2.808
14.98653,-47.9162,27.402,-0.043,-2.797
14.90853,-47.8442,27.81,-0.041,-2.802
14.77553,-47.7292,28.279,-0.026,-2.8
14.65853,-47.6312,28.472,-0.013,-2.802
14.48553,-47.4892,28.387,0.016,-2.803
14.33353,-47.3642,27.746,0.048,-2.792
14.25553,-47.2892,27.087,0.06,-2.802
14.19253,-47.2272,26.473,0.055,-2.799
14.15553,-47.1872,26.072,0.05,-2.797
14.10253,-47.1352,25.586,0.033,-2.796
14.07053,-47.1112,25.379,0.023,-2.8
14.02753,-47.0862,25.161,0.009,-2.799
14.00253,-47.0752,25.035,0.014,-2.802
13.97753,-47.0722,24.828,0.017,-2.803
13.95253,-47.0672,24.37,0.027,-2.804
13.94153,-47.0722,24.064,0.007,-2.8
13.93653,-47.0832,24.108,-0.006,-2.796
13.93253,-47.0872,24.167,-0.002,-2.799
13.92353,-47.0852,24.133,0.002,-2.801
13.90553,-47.0822,24.114,0.001,-2.807
13.88553,-47.0752,24.042,0.009,-2.813
13.87753,-47.0652,23.78,0.025,-2.814
13.87853,-47.0642,23.571,0.022,-2.805
13.87853,-47.0632,23.267,0.018,-2.796
13.87853,-47.0602,23.061,0.023,-2.796
13.86653,-47.0492,22.707,0.031,-2.799
13.83453,-47.0372,22.18,0.037,-2.803
13.82153,-47.0212,21.379,0.041,-2.803
13.83153,-47.0102,20.915,0.037,-2.807
13.83753,-47.0022,20.642,0.031,-2.802
13.84153,-46.9932,20.247,0.033,-2.802
13.84153,-46.9882,19.931,0.031,-2.796
13.84053,-46.9832,19.616,0.019,-2.795
13.83953,-46.9762,19.398,0.009,-2.789
13.83453,-46.9702,19.337,0.004,-2.797
13.82553,-46.9642,19.312,0.002,-2.804
13.81953,-46.9592,19.293,0.003,-2.818
13.80653,-46.9512,19.279,-0.002,-2.804
13.79953,-46.9472,19.307,-0.003,-2.803
13.79153,-46.9422,19.332,-0.001,-2.794
13.78153,-46.9272,19.289,0.007,-2.805
13.77353,-46.9172,19.214,0.01,-2.798
13.76653,-46.9062,19.143,0.004,-2.802
13.75753,-46.8902,19.032,0.004,-2.797
13.74453,-46.8852,19.004,0.002,-2.802
13.71653,-46.8832,19.004,0,-2.801
13.68753,-46.8812,18.996,0.003,-2.804
13.66853,-46.8782,18.985,0.001,-2.801
13.64953,-46.8742,18.955,0.004,-2.799
13.61553,-46.8652,18.86,0.005,-2.798
13.60053,-46.8592,18.778,0.007,-2.798
13.59953,-46.8532,18.691,0.011,-2.798
13.60053,-46.8452,18.593,0.01,-2.8
13.60253,-46.8432,18.541,0.007,-2.802
13.60853,-46.8422,18.487,0.005,-2.799
13.61353,-46.8442,18.448,0.005,-2.799
13.61853,-46.8442,18.407,0.004,-2.797
13.61853,-46.8432,18.352,0.007,-2.803
13.61953,-46.8412,18.279,0.012,-2.803
13.61953,-46.8352,18.071,0.019,-2.802
13.62053,-46.8222,17.689,0.024,-2.797
13.62153,-46.8082,17.373,0.023,-2.805
13.62253,-46.8002,17.144,0.026,-2.797
13.62353,-46.7882,16.655,0.033,-2.796
13.62353,-46.7962,16.394,0.008,-2.788
13.62353,-46.8032,16.425,-0.005,-2.797
13.62353,-46.8072,16.486,-0.007,-2.802
13.62353,-46.8102,16.501,0,-2.802
13.62353,-46.8102,16.493,0,-2.8
13.62253,-46.8052,16.52,-0.003,-2.8
13.61853,-46.8012,16.536,0,-2.8
13.61453,-46.7982,16.52,0.003,-2.808
13.60753,-46.7912,16.467,0.004,-2.801
13.60753,-46.7862,16.436,0.003,-2.805
13.60753,-46.7822,16.416,0.001,-2.804
13.60753,-46.7812,16.42,0,-2.799
13.60753,-46.7762,16.417,0,-2.797
13.60853,-46.7712,16.381,0,-2.791
13.61053,-46.7692,16.38,-0.001,-2.801
13.61153,-46.7672,16.432,-0.005,-2.803
13.61153,-46.7642,16.461,0,-2.806
13.61253,-46.7612,16.441,0.002,-2.798
13.61253,-46.7552,16.379,0.006,-2.801
13.61353,-46.7512,16.354,0.003,-2.797
13.61353,-46.7472,16.335,0,-2.799
13.61353,-46.7472,16.335,0,-2.797
13.61353,-46.7472,16.335,0,-2.799
13.61353,-46.7472,16.335,0,-2.805
13.61253,-46.7472,16.335,0,-2.799
13.61253,-46.7472,16.335,0,-2.806
13.61253,-46.7502,16.35,-0.002,-2.799
13.61153,-46.7522,16.373,0,-2.802
13.61153,-46.7522,16.378,0,-2.8
13.61053,-46.7552,16.393,-0.001,-2.802
13.61053,-46.7572,16.43,-0.001,-2.8
13.60953,-46.7562,16.447,-0.002,-2.8
13.60653,-46.7542,16.437,0.001,-2.797
13.60153,-46.7542,16.428,0,-2.801
13.59853,-46.7542,16.433,0,-2.797
13.59553,-46.7552,16.438,0,-2.805
13.59153,-46.7562,16.443,0,-2.799
13.58753,-46.7552,16.443,0,-2.801
13.58453,-46.7552,16.443,0,-2.798
13.58153,-46.7562,16.453,-0.003,-2.806
13.58053,-46.7582,16.477,-0.001,-2.808
13.57953,-46.7592,16.482,0,-2.806
13.57953,-46.7592,16.482,0,-2.805
13.57953,-46.7622,16.502,-0.002,-2.801
13.57853,-46.7642,16.525,-0.002,-2.803
13.57753,-46.7632,16.52,0.001,-2.803
13.57153,-46.7612,16.51,0,-2.8
13.57153,-46.7612,16.51,0,-2.793
13.57153,-46.7622,16.515,0,-2.792
13.57153,-46.7622,16.507,0,-2.793
13.57153,-46.7622,16.507,0,-2.799
13.57153,-46.7622,16.507,0,-2.797
13.57153,-46.7612,16.502,0.001,-2.804
13.57153,-46.7612,16.502,0,-2.803
13.57153,-46.7612,16.502,0,-2.801
13.57153,-46.7612,16.502,0,-2.798
13.57053,-46.7602,16.497,0,-2.799
13.57053,-46.7602,16.497,0,-2.798
13.57053,-46.7602,16.497,0,-2.798
13.57053,-46.7602,16.497,0,-2.795
13.57053,-46.7602,16.497,0,-2.802
13.56953,-46.7602,16.497,0,-2.803
