x (nm),y (nm),zpen (mm),F (N),zstm (nm)
-387.153,-380.702,-26.149,1.816,-11.429
-387.149,-380.702,-26.149,1.816,-11.429
-387.147,-380.703,-26.156,1.817,-11.429
-387.144,-380.702,-26.144,1.812,-11.429
-387.135,-380.701,-26.14,1.812,-11.429
-387.119,-380.701,-26.126,1.82,-11.429
-387.104,-380.703,-26.108,1.82,-11.429
-387.089,-380.706,-26.086,1.816,-11.429
-387.076,-380.709,-26.063,1.821,-11.429
-387.028,-380.712,-26.043,1.827,-11.429
-386.998,-380.71,-26.025,1.812,-11.429
-386.978,-380.71,-26.011,1.835,-11.429
-386.919,-380.709,-25.99,1.833,-11.43
-386.871,-380.711,-25.957,1.831,-11.43
-386.841,-380.714,-25.92,1.832,-11.43
-386.814,-380.72,-25.862,1.836,-11.43
-386.801,-380.72,-25.848,1.846,-11.43
-386.791,-380.719,-25.844,1.846,-11.43
-386.784,-380.717,-25.844,1.842,-11.43
-386.783,-380.717,-25.844,1.826,-11.43
-386.781,-380.716,-25.831,1.822,-11.431
-386.768,-380.715,-25.81,1.809,-11.43
-386.76,-380.715,-25.801,1.811,-11.43
-386.751,-380.714,-25.784,1.809,-11.431
-386.75,-380.713,-25.771,1.812,-11.431
-386.749,-380.711,-25.78,1.809,-11.431
-386.738,-380.709,-25.776,1.807,-11.431
-386.717,-380.708,-25.745,1.799,-11.431
-386.7,-380.708,-25.761,1.793,-11.431
-386.689,-380.708,-25.751,1.793,-11.431
-386.646,-380.708,-25.739,1.791,-11.431
-386.615,-380.712,-25.722,1.795,-11.431
-386.546,-380.716,-25.697,1.797,-11.431
-386.524,-380.718,-25.723,1.803,-11.432
-386.504,-380.718,-25.733,1.814,-11.432
-386.476,-380.715,-25.714,1.808,-11.432
-386.464,-380.714,-25.693,1.803,-11.432
-386.46,-380.713,-25.693,1.796,-11.433
-386.457,-380.714,-25.7,1.78,-11.433
-386.455,-380.713,-25.73,1.739,-11.433
-386.451,-380.71,-25.781,1.745,-11.433
-386.447,-380.705,-25.795,1.743,-11.433
-386.442,-380.703,-25.783,1.746,-11.433
-386.434,-380.701,-25.783,1.742,-11.433
-386.434,-380.701,-25.783,1.74,-11.433
-386.437,-380.701,-25.758,1.745,-11.433
-386.434,-380.701,-25.753,1.74,-11.434
-386.432,-380.701,-25.753,1.734,-11.433
-386.425,-380.7,-25.778,1.73,-11.433
-386.422,-380.696,-25.775,1.736,-11.433
-386.415,-380.69,-25.789,1.74,-11.433
-386.397,-380.684,-25.794,1.744,-11.434
-386.384,-380.681,-25.777,1.738,-11.434
-386.379,-380.683,-25.767,1.74,-11.434
-386.39,-380.688,-25.746,1.73,-11.434
-386.382,-380.687,-25.753,1.737,-11.434
-386.346,-380.677,-25.783,1.721,-11.434
-386.356,-380.679,-25.787,1.721,-11.434
-386.367,-380.682,-25.787,1.733,-11.434
-386.368,-380.682,-25.787,1.729,-11.434
-386.361,-380.682,-25.778,1.718,-11.434
-386.355,-380.681,-25.778,1.708,-11.434
-386.352,-380.68,-25.778,1.72,-11.434
-386.351,-380.678,-25.783,1.725,-11.434
-386.347,-380.677,-25.783,1.716,-11.434
-386.341,-380.677,-25.778,1.713,-11.434
-386.338,-380.679,-25.781,1.71,-11.434
-386.337,-380.681,-25.771,1.713,-11.434
-386.337,-380.682,-25.767,1.704,-11.434
-386.335,-380.681,-25.771,1.71,-11.434
-386.328,-380.679,-25.771,1.704,-11.434
-386.317,-380.676,-25.771,1.706,-11.434
-386.297,-380.67,-25.771,1.717,-11.434
-386.282,-380.67,-25.757,1.714,-11.435
-386.273,-380.672,-25.739,1.716,-11.435
-386.279,-380.672,-25.743,1.711,-11.435
-386.294,-380.678,-25.709,1.681,-11.435
-386.293,-380.686,-25.651,1.671,-11.435
-386.293,-380.688,-25.642,1.66,-11.435
-386.291,-380.69,-25.633,1.662,-11.435
-386.289,-380.689,-25.637,1.672,-11.435
-386.286,-380.686,-25.659,1.678,-11.435
-386.277,-380.686,-25.662,1.673,-11.435
-386.274,-380.688,-25.635,1.674,-11.435
-386.273,-380.689,-25.631,1.674,-11.435
-386.269,-380.689,-25.626,1.676,-11.435
-386.255,-380.691,-25.607,1.669,-11.435
-386.25,-380.689,-25.607,1.658,-11.435
-386.249,-380.689,-25.619,1.671,-11.435
-386.248,-380.689,-25.619,1.67,-11.435
-386.248,-380.689,-25.619,1.671,-11.435
-386.247,-380.689,-25.619,1.662,-11.435
-386.247,-380.689,-25.619,1.663,-11.435
-386.249,-380.687,-25.641,1.667,-11.435
-386.253,-380.686,-25.663,1.671,-11.435
-386.256,-380.685,-25.685,1.666,-11.435
-386.247,-380.681,-25.707,1.668,-11.435
-386.247,-380.681,-25.719,1.674,-11.435
-386.248,-380.682,-25.731,1.683,-11.435
-386.251,-380.682,-25.748,1.685,-11.435
-386.251,-380.681,-25.753,1.686,-11.435
-386.253,-380.676,-25.802,1.693,-11.435
-386.252,-380.674,-25.865,1.708,-11.435
-386.252,-380.671,-25.933,1.713,-11.435
-386.252,-380.67,-25.963,1.725,-11.435
-386.251,-380.671,-25.988,1.733,-11.435
-386.247,-380.673,-26.003,1.73,-11.435
-386.243,-380.675,-25.994,1.726,-11.435
-386.243,-380.675,-25.994,1.724,-11.435
-386.243,-380.674,-25.981,1.717,-11.435
-386.243,-380.671,-25.978,1.715,-11.435
-386.243,-380.67,-25.983,1.714,-11.435
-386.243,-380.67,-25.983,1.714,-11.435
-386.242,-380.671,-25.966,1.711,-11.435
-386.243,-380.673,-25.944,1.704,-11.435
-386.244,-380.675,-25.922,1.703,-11.435
-386.244,-380.676,-25.905,1.703,-11.435
-386.242,-380.678,-25.896,1.701,-11.435
-386.24,-380.68,-25.886,1.705,-11.435
-386.24,-380.679,-25.862,1.699,-11.435
-386.243,-380.676,-25.817,1.692,-11.435
-386.243,-380.68,-25.803,1.692,-11.435
-386.241,-380.686,-25.767,1.684,-11.435
-386.24,-380.691,-25.731,1.672,-11.435
-386.239,-380.695,-25.687,1.678,-11.435
-386.238,-380.696,-25.665,1.669,-11.435
-386.238,-380.698,-25.66,1.662,-11.435
-386.24,-380.699,-25.643,1.652,-11.436
-386.24,-380.699,-25.643,1.656,-11.436
-386.241,-380.699,-25.643,1.647,-11.435
-386.24,-380.698,-25.631,1.647,-11.435
-386.241,-380.7,-25.614,1.649,-11.435
-386.245,-380.703,-25.592,1.642,-11.435
-386.255,-380.703,-25.572,1.65,-11.435
-386.26,-380.704,-25.56,1.645,-11.435
-386.254,-380.704,-25.555,1.639,-11.435
-386.249,-380.702,-25.555,1.644,-11.435
-386.25,-380.703,-25.555,1.643,-11.435
-386.25,-380.702,-25.542,1.649,-11.435
-386.252,-380.703,-25.501,1.649,-11.435
-386.256,-380.703,-25.476,1.639,-11.435
-386.256,-380.704,-25.471,1.629,-11.435
-386.255,-380.708,-25.457,1.629,-11.435
-386.255,-380.708,-25.457,1.63,-11.435
-386.255,-380.708,-25.457,1.631,-11.435
-386.255,-380.706,-25.462,1.623,-11.435
-386.253,-380.705,-25.466,1.628,-11.435
-386.253,-380.703,-25.471,1.633,-11.435
-386.25,-380.702,-25.471,1.632,-11.435
-386.248,-380.701,-25.459,1.633,-11.435
-386.249,-380.702,-25.459,1.634,-11.435
-386.249,-380.702,-25.459,1.632,-11.435
-386.249,-380.702,-25.459,1.634,-11.435
-386.248,-380.701,-25.459,1.641,-11.435
-386.248,-380.702,-25.471,1.632,-11.435
-386.248,-380.701,-25.476,1.634,-11.435
-386.249,-380.701,-25.476,1.633,-11.435
-386.249,-380.701,-25.476,1.63,-11.435
-386.249,-380.701,-25.476,1.632,-11.435
-386.249,-380.702,-25.471,1.635,-11.435
-386.248,-380.7,-25.463,1.62,-11.435
-386.25,-380.697,-25.448,1.623,-11.435
-386.25,-380.696,-25.441,1.615,-11.435
-386.252,-380.695,-25.404,1.61,-11.435
-386.252,-380.694,-25.325,1.592,-11.435
-389.957,-380.452,67.567,0.001,-11.435
-389.952,-380.44,67.364,0.006,-11.435
-389.95,-380.438,67.342,0,-11.435
-389.95,-380.436,67.337,0,-11.435
-389.95,-380.436,67.337,0,-11.435
-389.95,-380.436,67.337,0,-11.435
-389.95,-380.432,67.263,0.007,-11.434
-389.95,-380.429,67.201,0.011,-11.434
-389.949,-380.42,67.037,0.01,-11.434
-389.949,-380.416,66.982,0.002,-11.434
-389.949,-380.415,66.971,0,-11.433
-389.949,-380.415,66.971,0,-11.433
-389.949,-380.412,66.926,0.005,-11.433
-389.949,-380.411,66.863,0.001,-11.432
-389.949,-380.416,66.831,0.001,-11.432
-389.949,-380.414,66.798,0.006,-11.432
-389.949,-380.411,66.764,0.009,-11.431
-389.949,-380.403,66.653,0.008,-11.431
-389.948,-380.403,66.653,-0.005,-11.431
-389.948,-380.406,66.663,-0.004,-11.431
-389.949,-380.41,66.655,0.001,-11.43
-389.948,-380.418,66.604,0.001,-11.43
-389.944,-380.419,66.598,0,-11.43
-389.938,-380.418,66.604,-0.001,-11.43
-389.926,-380.421,66.585,0.002,-11.43
-389.908,-380.432,66.533,0.006,-11.429
-389.896,-380.436,66.507,0.008,-11.429
-389.854,-380.445,66.426,0.009,-11.429
-389.808,-380.446,66.275,0.019,-11.429
-389.753,-380.447,66.101,0.022,-11.429
-389.668,-380.447,65.81,0.034,-11.429
-389.532,-380.461,65.48,0.031,-11.429
-389.366,-380.482,65.073,0.044,-11.429
-389.223,-380.496,64.75,0.036,-11.429
-389.085,-380.502,64.426,0.042,-11.429
-388.846,-380.501,63.913,0.044,-11.429
-388.537,-380.496,63.485,0.027,-11.429
-388.304,-380.486,63.284,0.022,-11.429
-388.082,-380.469,63.087,0.028,-11.429
-387.833,-380.444,62.76,0.035,-11.429
-387.604,-380.427,62.382,0.043,-11.429
-387.343,-380.424,61.814,0.051,-11.429
-387.177,-380.438,61.352,0.05,-11.429
-386.998,-380.467,60.643,0.044,-11.429
-386.909,-380.499,60.083,0.04,-11.429
-386.87,-380.517,59.829,0.028,-11.429
-386.823,-380.531,59.5,0.023,-11.429
-386.784,-380.526,59.119,0.02,-11.429
-386.778,-380.524,59.065,0.01,-11.429
-386.769,-380.518,58.986,0.001,-11.429
-386.75,-380.517,59.036,-0.006,-11.429
-386.739,-380.515,59.065,-0.01,-11.429
-386.709,-380.503,59.076,0.004,-11.429
-386.692,-380.491,58.98,0.011,-11.429
-386.681,-380.477,58.887,0.011,-11.429
-386.661,-380.444,58.602,0.018,-11.429
-386.632,-380.423,58.406,0.017,-11.429
-386.62,-380.415,58.335,0.015,-11.429
-386.604,-380.405,58.243,0.014,-11.429
-386.581,-380.392,58.079,0.02,-11.429
-386.556,-380.378,57.752,0.028,-11.429
-386.542,-380.375,57.425,0.03,-11.43
-386.518,-380.365,56.909,0.045,-11.43
-386.495,-380.323,56.031,0.075,-11.43
-386.478,-380.281,55.208,0.091,-11.43
-386.449,-380.213,53.865,0.102,-11.43
-386.42,-380.118,51.446,0.168,-11.43
-386.398,-380.075,49.088,0.183,-11.431
-386.396,-380.076,46.874,0.176,-11.431
-386.399,-380.125,44.944,0.155,-11.432
-386.408,-380.172,43.51,0.149,-11.432
-386.454,-380.217,40.443,0.137,-11.432
-386.49,-380.216,38.875,0.127,-11.432
-386.501,-380.211,38.363,0.127,-11.432
-386.523,-380.204,37.291,0.139,-11.433
-386.539,-380.195,35.938,0.16,-11.433
-386.536,-380.164,33.232,0.179,-11.433
-386.512,-380.128,30.675,0.163,-11.433
-386.507,-380.117,30.13,0.158,-11.433
-386.493,-380.068,28.251,0.158,-11.433
-386.485,-380.023,26.739,0.158,-11.433
-386.481,-379.986,25.571,0.139,-11.433
-386.482,-379.953,24.298,0,-11.433
-386.482,-379.936,22.929,0.077,-11.433
-386.475,-379.932,22.209,0.066,-11.433
-386.462,-379.933,21.653,0.066,-11.433
-386.44,-379.933,20.958,0.062,-11.433
-386.42,-379.935,20.37,0.07,-11.433
-386.388,-379.937,19.224,0.084,-11.433
-386.344,-379.933,17.973,0.071,-11.433
-386.334,-379.93,17.699,0.069,-11.434
-386.309,-379.921,16.913,0.071,-11.434
-386.291,-379.909,16.314,0.077,-11.434
-386.233,-379.867,14.479,0.1,-11.434
-386.207,-379.845,12.853,0.121,-11.434
-386.202,-379.838,12.275,0.128,-11.434
-386.197,-379.823,11.086,0.146,-11.434
-386.189,-379.803,8.951,0.163,-11.434
-386.17,-379.792,6.847,0.169,-11.435
-386.153,-379.78,4.692,0.157,-11.435
-386.152,-379.774,2.938,0.129,-11.435
-386.166,-379.769,1.777,0.11,-11.435
-386.177,-379.766,1.018,0.095,-11.435
-386.195,-379.767,-0.019,0.023,-11.435
-386.203,-379.775,-0.024,-0.01,-11.435
-386.205,-379.777,0.025,-0.012,-11.435
-386.215,-379.785,0.208,-0.022,-11.435
-386.229,-379.791,0.52,-0.027,-11.435
-386.23,-379.792,0.65,-0.031,-11.434
-386.232,-379.791,1.095,-0.037,-11.434
-386.232,-379.786,1.55,-0.024,-11.434
-386.232,-379.785,1.604,-0.014,-11.434
-386.227,-379.781,1.646,0.004,-11.434
-386.222,-379.782,1.631,0,-11.434
-386.219,-379.784,1.728,-0.015,-11.434
-386.215,-379.789,2.293,-0.023,-11.434
-386.216,-379.788,2.427,-0.008,-11.434
-386.215,-379.788,2.453,-0.008,-11.434
-386.215,-379.79,2.422,0.002,-11.434
-386.212,-379.786,2.41,-0.002,-11.434
-386.208,-379.788,2.449,-0.01,-11.435
-386.208,-379.784,2.555,0.001,-11.435
-386.211,-379.776,2.375,0.028,-11.435
-386.212,-379.77,2.1,0.037,-11.435
-386.213,-379.763,1.723,0.037,-11.435
-386.217,-379.759,0.902,0.058,-11.435
-386.224,-379.768,-0.057,0.084,-11.434
-386.236,-379.772,-1.068,0.11,-11.434
-386.266,-379.764,-3.603,0.157,-11.434
-386.283,-379.755,-5.635,0.683,-11.434
-386.282,-379.747,-6.103,0.764,-11.434
-386.275,-379.754,-5.998,0.693,-11.434
-386.287,-379.752,-6.185,0.791,-11.434
-386.316,-379.727,-7.038,1.129,-11.434
-386.322,-379.718,-7.472,1.253,-11.434
-386.324,-379.713,-7.723,1.32,-11.434
-386.329,-379.713,-7.852,1.364,-11.434
-386.363,-379.722,-8.653,1.698,-11.434
-386.387,-379.735,-9.469,1.993,-11.434
-386.393,-379.739,-10.638,2.411,-11.434
-386.366,-379.711,-12.247,2.972,-11.434
-386.354,-379.7,-13.365,3.365,-11.434
-386.356,-379.704,-14.051,3.561,-11.434
-386.373,-379.718,-14.574,3.725,-11.434
-386.383,-379.727,-14.474,3.639,-11.434
-386.35,-379.728,-13.383,3.165,-11.434
-386.307,-379.748,-10.845,2.145,-11.434
-386.299,-379.793,-7.109,0.79,-11.434
-386.349,-379.816,-4.255,-0.137,-11.434
-386.432,-379.8,-3.127,-0.112,-11.434
-386.467,-379.793,-2.819,-0.086,-11.434
-386.558,-379.751,-1.897,-0.079,-11.434
-386.589,-379.722,-0.605,-0.143,-11.434
-386.634,-379.706,2.023,-0.216,-11.433
-386.718,-379.655,5.026,-0.222,-11.433
-386.798,-379.594,6.56,-0.167,-11.433
-386.912,-379.497,7.972,-0.103,-11.433
-387.112,-379.288,9.155,-0.024,-11.433
-387.214,-379.19,9.382,-0.019,-11.432
-387.329,-379.093,9.516,-0.011,-11.432
-387.485,-378.985,9.672,-0.013,-11.432
-387.609,-378.913,9.812,-0.015,-11.432
-387.778,-378.808,10.02,-0.013,-11.432
-387.825,-378.777,10.053,-0.01,-11.432
-387.982,-378.663,10.113,0,-11.432
-388.09,-378.577,9.99,0.017,-11.431
-388.201,-378.485,9.771,0.027,-11.431
-388.374,-378.344,9.271,0.036,-11.431
-388.535,-378.224,8.812,0.033,-11.431
-388.786,-378.072,8.542,0,-11.431
-388.919,-378.007,8.61,-0.006,-11.431
-389.112,-377.912,8.584,0.01,-11.43
-389.3,-377.835,8.32,0.018,-11.43
-389.433,-377.788,8.133,0.017,-11.43
-389.549,-377.744,7.947,0.018,-11.43
-389.651,-377.716,7.822,0.011,-11.429
-389.769,-377.695,7.792,-0.002,-11.429
-389.865,-377.679,7.814,-0.001,-11.429
-390.035,-377.641,7.69,0.015,-11.429
-390.116,-377.621,7.549,0.019,-11.429
-390.203,-377.598,7.315,0.011,-11.428
-390.262,-377.591,7.305,-0.005,-11.428
-390.336,-377.597,7.366,-0.003,-11.427
-390.413,-377.611,7.372,0.003,-11.427
-390.484,-377.658,7.342,-0.004,-11.427
-390.548,-377.767,7.637,-0.017,-11.427
-390.581,-377.826,7.813,-0.011,-11.427
-390.607,-377.855,7.906,-0.008,-11.426
-390.626,-377.878,7.982,-0.004,-11.426
-390.628,-377.892,8.05,-0.009,-11.426
-390.639,-377.907,8.113,-0.007,-11.426
-390.668,-377.929,8.19,-0.007,-11.426
-390.73,-377.961,8.277,-0.003,-11.425
-390.759,-377.967,8.282,0.002,-11.425
-390.803,-377.977,8.339,-0.005,-11.425
-390.873,-378.009,8.48,-0.008,-11.425
-390.906,-378.035,8.554,-0.007,-11.424
-390.928,-378.039,8.504,0.008,-11.424
-390.962,-378.036,8.357,0.014,-11.424
-391.013,-378.042,8.14,0.014,-11.424
-391.065,-378.046,8.012,0.006,-11.424
-391.109,-378.043,7.927,0.009,-11.423
-391.146,-378.044,7.845,0.008,-11.423
-391.19,-378.047,7.735,0.007,-11.423
-391.223,-378.049,7.661,0.006,-11.423
-391.249,-378.048,7.625,0.003,-11.422
-391.299,-378.045,7.534,0.009,-11.422
-391.328,-378.043,7.448,0.011,-11.422
-391.362,-378.05,7.243,0.018,-11.422
-391.378,-378.059,7.14,0.012,-11.422
-391.383,-378.064,7.124,0.005,-11.422
-391.397,-378.085,7.165,-0.005,-11.421
-391.419,-378.105,7.3,-0.001,-11.421
-391.431,-378.112,7.328,-0.002,-11.421
-391.433,-378.114,7.337,-0.001,-11.42
-391.435,-378.117,7.349,-0.001,-11.42
-391.438,-378.121,7.375,-0.002,-11.42
-391.456,-378.122,7.387,0,-11.42
-391.47,-378.118,7.383,0,-11.42
-391.48,-378.114,7.375,0.001,-11.419
-391.494,-378.109,7.38,-0.002,-11.419
-391.519,-378.1,7.444,-0.006,-11.419
-391.536,-378.095,7.463,-0.001,-11.419
-391.557,-378.093,7.454,0,-11.418
-391.563,-378.092,7.431,0.001,-11.418
-391.563,-378.094,7.439,-0.001,-11.418
-391.565,-378.098,7.452,-0.003,-11.417
-391.574,-378.11,7.524,-0.001,-11.417
-391.586,-378.108,7.524,0.002,-11.417
-391.598,-378.103,7.489,0.005,-11.417
-391.611,-378.099,7.462,0.001,-11.416
-391.622,-378.1,7.47,-0.002,-11.416
-391.625,-378.103,7.482,-0.001,-11.416
-391.626,-378.105,7.491,0,-11.416
-391.625,-378.104,7.473,0.001,-11.416
-391.626,-378.103,7.46,0.001,-11.416
-391.626,-378.102,7.456,0,-11.415
-391.628,-378.102,7.446,0,-11.415
-391.636,-378.102,7.437,0.004,-11.415
-391.659,-378.094,7.366,0.006,-11.415
-391.669,-378.087,7.314,0.008,-11.415
-391.676,-378.084,7.251,0.01,-11.415
-391.686,-378.085,7.187,0.005,-11.415
-391.705,-378.088,7.117,0.004,-11.415
-391.713,-378.089,7.103,0.001,-11.414
-391.732,-378.099,7.098,-0.001,-11.414
-391.755,-378.109,7.075,0.004,-11.414
-391.776,-378.12,6.984,0.013,-11.414
-391.784,-378.124,6.91,0.018,-11.414
-391.808,-378.143,6.634,0.024,-11.414
-391.821,-378.149,6.508,0.003,-11.414
-391.835,-378.151,6.429,-0.001,-11.413
-391.852,-378.156,6.326,0.001,-11.413
-391.869,-378.161,6.223,0.009,-11.413
-391.891,-378.169,6.086,0.011,-11.413
-391.907,-378.178,6.022,0.002,-11.413
-391.923,-378.196,6.019,-0.003,-11.413
-391.924,-378.201,6.026,0,-11.413
-391.926,-378.208,6,0.005,-11.412
-391.929,-378.223,5.875,0.014,-11.412
-391.94,-378.252,5.62,0.024,-11.412
-391.951,-378.269,5.47,0.029,-11.412
-391.967,-378.29,5.383,-0.003,-11.412
-391.992,-378.326,5.15,0.016,-11.412
-392.004,-378.342,5.045,0.011,-11.411
-392.027,-378.362,4.85,0.004,-11.411
-392.037,-378.369,4.674,0.018,-11.411
-392.04,-378.373,4.532,0.02,-11.41
-392.045,-378.389,4.362,0.006,-11.41
-392.045,-378.395,4.331,0.004,-11.41
-392.045,-378.397,4.302,0.003,-11.41
-392.045,-378.403,4.225,0.008,-11.409
-392.05,-378.413,4.094,0.008,-11.409
-392.052,-378.417,4.036,0.007,-11.409
-392.055,-378.423,3.949,0.007,-11.409
-392.055,-378.432,3.832,0.011,-11.408
-392.053,-378.442,3.682,0.015,-11.408
-392.053,-378.448,3.557,0.017,-11.408
-392.057,-378.457,3.346,0.015,-11.408
-392.061,-378.459,3.259,0,-11.407
-392.061,-378.463,3.272,-0.001,-11.407
-392.059,-378.464,3.262,0.003,-11.407
-392.059,-378.465,3.252,0.003,-11.407
-392.058,-378.468,3.261,-0.001,-11.406
-392.058,-378.469,3.265,0,-11.406
-392.059,-378.469,3.265,0,-11.406
-392.059,-378.469,3.265,0,-11.406
-392.059,-378.469,3.265,0,-11.405
-392.059,-378.469,3.265,0,-11.405
-392.059,-378.469,3.265,0,-11.405
-392.059,-378.469,3.255,0.005,-11.405
-392.059,-378.472,3.264,-0.002,-11.405
-392.059,-378.472,3.254,0,-11.405
-392.06,-378.474,3.258,-0.001,-11.405
-392.062,-378.473,3.258,0.001,-11.405
-392.062,-378.473,3.258,0,-11.404
-392.061,-378.473,3.258,0,-11.404
-392.062,-378.474,3.262,0.001,-11.404
-392.062,-378.474,3.262,0,-11.404
-392.062,-378.474,3.262,0,-11.404
-392.062,-378.477,3.27,-0.001,-11.403
-392.062,-378.478,3.275,0,-11.403
-392.062,-378.478,3.275,0,-11.403
-392.062,-378.476,3.256,0.005,-11.403
-392.062,-378.475,3.252,0,-11.403
-392.062,-378.475,3.252,0,-11.403
-392.062,-378.475,3.252,0,-11.403
-392.062,-378.475,3.252,0,-11.402
-392.062,-378.476,3.256,-0.001,-11.402
-392.061,-378.473,3.244,0.001,-11.402
-392.061,-378.47,3.236,0.001,-11.402
-392.061,-378.47,3.236,0,-11.402
-392.06,-378.467,3.223,0.001,-11.401
-392.059,-378.464,3.14,0.005,-11.401
-392.059,-378.461,3.056,0.011,-11.4
-392.057,-378.456,2.818,0.022,-11.4
-392.057,-378.454,2.569,0.028,-11.4
-392.057,-378.452,2.367,0.025,-11.4
-392.06,-378.454,2.035,0.015,-11.399
-392.061,-378.453,1.837,0.02,-11.399
-392.059,-378.446,1.605,0.027,-11.399
-392.057,-378.436,1.342,0.036,-11.399
-392.053,-378.419,0.801,0.041,-11.398
-392.051,-378.407,0.388,0.036,-11.398
-392.044,-378.373,-0.604,0.052,-11.398
-392.041,-378.366,-0.82,0.045,-11.399
-392.038,-378.35,-1.363,0.044,-11.399
-392.036,-378.341,-1.69,0.044,-11.399
-392.035,-378.329,-2.231,0.047,-11.399
-392.036,-378.319,-2.896,0.051,-11.399
-392.036,-378.31,-3.198,0.065,-11.399
-392.038,-378.301,-3.857,0.07,-11.398
-392.036,-378.296,-4.675,0.298,-11.398
-392.037,-378.29,-4.98,0.348,-11.398
-392.051,-378.291,-5.328,0.503,-11.399
-392.058,-378.288,-5.668,0.632,-11.399
-392.066,-378.282,-6.124,0.795,-11.399
-392.072,-378.275,-6.474,0.898,-11.398
-392.09,-378.274,-6.911,1.056,-11.398
-392.114,-378.274,-7.463,1.275,-11.398
-392.123,-378.272,-7.689,1.372,-11.398
-392.138,-378.267,-8.332,1.595,-11.398
-392.139,-378.254,-9.094,1.855,-11.398
-392.131,-378.244,-9.864,2.136,-11.398
-392.135,-378.246,-11.431,2.719,-11.398
-392.148,-378.25,-12.561,3.126,-11.398
-392.166,-378.248,-13.894,3.583,-11.398
-392.167,-378.246,-14.344,3.735,-11.398
-392.139,-378.244,-15.517,4.131,-11.398
-392.114,-378.248,-16.136,4.281,-11.398
-392.153,-378.256,-16.009,4.17,-11.398
-392.204,-378.284,-15.259,3.858,-11.398
-392.212,-378.306,-14.342,3.49,-11.398
-392.173,-378.353,-12.047,2.63,-11.398
-392.134,-378.394,-9.926,1.861,-11.398
-392.119,-378.428,-7.971,1.222,-11.397
-392.162,-378.49,-5.226,0.371,-11.398
-392.183,-378.557,-4.387,0.064,-11.398
-392.19,-378.581,-4.043,-0.059,-11.398
-392.203,-378.629,-3.536,-0.057,-11.398
-392.22,-378.674,-3.14,-0.044,-11.398
-392.247,-378.735,-2.534,-0.047,-11.398
-392.254,-378.782,-2.152,-0.051,-11.398
-392.26,-378.847,-1.66,-0.063,-11.398
-392.273,-379.003,-0.377,-0.08,-11.398
-392.289,-379.111,0.494,-0.076,-11.398
-392.313,-379.217,1.113,-0.051,-11.398
-392.322,-379.262,1.284,-0.039,-11.398
-392.332,-379.375,1.554,-0.03,-11.398
-392.329,-379.481,1.751,-0.023,-11.398
-392.313,-379.69,2.115,-0.023,-11.398
-392.307,-379.87,2.393,-0.021,-11.398
-392.311,-379.936,2.514,-0.025,-11.398
-392.344,-380.075,2.699,-0.012,-11.399
-392.384,-380.182,2.724,-0.002,-11.399
-392.42,-380.281,2.697,0.004,-11.399
-392.46,-380.501,2.87,-0.025,-11.399
-392.472,-380.59,3.185,-0.037,-11.399
-392.479,-380.626,3.343,-0.039,-11.399
-392.509,-380.741,3.938,-0.05,-11.399
-392.542,-380.898,4.758,-0.049,-11.399
-392.551,-381.007,5.232,-0.045,-11.399
-392.554,-381.136,5.808,-0.047,-11.399
-392.552,-381.216,6.273,-0.051,-11.399
-392.545,-381.315,6.938,-0.053,-11.399
-392.537,-381.406,7.409,-0.033,-11.399
-392.516,-381.527,7.547,0.004,-11.399
-392.489,-381.66,7.494,0.001,-11.399
-392.458,-381.791,7.673,-0.019,-11.399
-392.438,-381.883,7.801,-0.015,-11.399
-392.424,-382.019,7.906,-0.003,-11.399
-392.381,-382.129,7.756,0.011,-11.399
-392.312,-382.15,7.499,0.014,-11.399
-392.291,-382.149,7.368,0.033,-11.399
-392.263,-382.142,7.231,0.027,-11.399
-392.228,-382.122,7.109,0.014,-11.399
-392.215,-382.108,6.991,0.018,-11.399
-392.216,-382.096,6.794,0.009,-11.399
-392.219,-382.089,6.647,0.018,-11.399
-392.219,-382.083,6.418,0.014,-11.399
-392.215,-382.071,6.233,0.005,-11.399
-392.215,-382.072,6.192,0.004,-11.399
-392.214,-382.078,6.121,0.005,-11.399
-392.209,-382.078,6.082,0.005,-11.399
-392.197,-382.062,5.958,0.011,-11.399
-392.193,-382.051,5.823,0.007,-11.399
-392.191,-382.044,5.678,0.016,-11.399
-392.189,-382.046,5.613,0,-11.399
-392.188,-382.035,5.536,0.01,-11.4
-392.187,-382.03,5.418,0.014,-11.4
-392.188,-382.029,5.16,0.014,-11.4
-392.193,-382.039,5.078,0.003,-11.4
-392.197,-382.04,5.074,0.001,-11.4
-392.201,-382.044,5.033,0.005,-11.4
-392.202,-382.049,5.003,0.001,-11.4
-392.201,-382.049,5.003,0,-11.4
-392.199,-382.044,4.965,0.003,-11.4
-392.198,-382.042,4.949,0,-11.401
-392.198,-382.042,4.949,0,-11.401
-392.199,-382.042,4.938,0.001,-11.401
-392.199,-382.04,4.892,0.006,-11.401
-392.2,-382.045,4.772,0.006,-11.401
-392.2,-382.048,4.726,0.002,-11.401
-392.2,-382.048,4.696,0.006,-11.401
-392.199,-382.047,4.578,0.006,-11.401
-392.201,-382.049,4.514,0.009,-11.401
-392.205,-382.055,4.45,0.004,-11.401
-392.21,-382.055,4.427,0.003,-11.401
-392.21,-382.055,4.366,0.004,-11.401
-392.207,-382.059,4.37,-0.004,-11.401
-392.204,-382.065,4.47,-0.007,-11.401
